n,kappa,method,left_tail,A,B,mean_length,median_length,p90_length,mean_to_median,true_power
8,0.25,Median-MC,0.009916331359186894,1.2356129361368988,14.697137479290692,0.19004691921192082,0.16435755929389062,0.3132273626128984,1.1563016634488628,0.15762745900525088
8,0.25,Median-opt,0.009933564742636845,1.236320753931188,14.698353664810307,0.19004633273666102,0.16435754889519638,0.3132278748523789,1.1562981683174482,0.15762745900525088
8,0.5,Equal-tail,0.025,1.689869180677355,16.01276427462931,0.4791688847043523,0.482812942810409,0.6466621817867622,0.992452443207415,0.3567421018365684
8,0.5,Expected-opt,0.016760428091537997,1.472705688912485,15.223437533519222,0.4757631468145437,0.4753818148286776,0.6560115946910885,1.000802159388456,0.3567421018365684
8,0.5,Median-MC,0.012916728488550447,1.3489693372610805,14.916613924668743,0.476621674025211,0.47430257754425353,0.6635752890842612,1.004889487408997,0.3567421018365684
8,0.5,Median-opt,0.011956211210445787,1.314631341038757,14.844601353181968,0.4771370225809221,0.4742389841332112,0.6659214452046734,1.0061109241219546,0.3567421018365684
8,0.75,Equal-tail,0.025,1.689869180677355,16.01276427462931,0.5953412569371365,0.6255609630501493,0.6630476405004244,0.9516918287777011,0.6050340253632658
8,0.75,Expected-opt,0.034700836755478866,1.8974168384209928,17.345498528366633,0.590388963651617,0.6223595369928498,0.6567247102235966,0.9486300579634241,0.6050340253632658
8,0.75,Median-MC,0.03015078021917661,1.804823877278595,16.64297426588305,0.5915260845957004,0.6225678285340188,0.6582410084305833,0.9501391775874231,0.6050340253632658
8,0.75,Median-opt,0.03255639741823792,1.8546838306369333,16.99265552627268,0.5906500250194813,0.6221203894531231,0.6571024259806388,0.9494143497510089,0.6050340253632658
8,1.0,Equal-tail,0.025,1.689869180677355,16.01276427462931,0.5590032194027689,0.6109039809276602,0.6626191489471971,0.9150426856834689,0.81501943423648
8,1.0,Expected-opt,0.04796677247376647,2.1343206180607512,22.559408296074427,0.5188816711435617,0.5641550687101045,0.6762195772086869,0.9197500827741266,0.81501943423648
8,1.0,Median-MC,0.04994067794749892,2.1663963577533654,31.11053387828274,0.5226840600296722,0.5608281139664897,0.7036201133452895,0.9319861950802689,0.81501943423648
